"h_names_Site0.05" "h_ocurrence_Site0.05"
"1" "Zotu108_P1_A01_32TCONS2_S502_N701" "9"
"2" "Zotu10_P1_B08_17IZPOC2_S517_N704" "1"
"3" "Zotu117_P3_C03_125ACON15_S508_N711" "3"
"4" "Zotu118_P3_G06_108ACON21_S506_N701" "1"
"5" "Zotu125_P4_E06_120ACON10_S508_N705" "5"
"6" "Zotu126_P3_A05_107ACON20_S507_N712" "2"
"7" "Zotu133_P2_E02_77SHCON8_S508_N707" "3"
"8" "Zotu133_P2_G02_14SHCN5C2_S517_N707" "8"
"9" "Zotu137_P1_A01_32TCONS2_S502_N701" "1"
"10" "Zotu180_P1_F11_78SHCON9_S508_N706" "9"
"11" "Zotu182_P2_G02_14SHCN5C2_S517_N707" "2"
"12" "Zotu284_P3_E03_86ACON8_S517_N711" "1"
"13" "Zotu33_P3_C05_110ACON23_S508_N712" "1"
"14" "Zotu38_P1_B08_17IZPOC2_S517_N704" "1"
"15" "Zotu3_P1_F05_15SHC6C3_S506_N703" "1"
"16" "Zotu44_P1_D05_13SHC4C1_S505_N703" "1"
"17" "Zotu61_P3_E04_121ACON11_S505_N712" "1"
"18" "Zotu65_P1_H08_70SHCON1_S504_N705" "1"
"19" "Zotu6_P1_E02_21MMC3_S517_N701" "1"
"20" "Zotu82_P3_E03_86ACON8_S517_N711" "1"
